,date,state,positive,positiveIncrease,totalTestResults,totalTestResultsIncrease,Pop,C_,T_,CC_,TT_,C_s,T_s
74,2020-03-04,AZ,2.0,0.0,29.0,0.0,7378494.0,0.0,0.0,2.7105802349368313e-05,0.0003930341340658405,0.0,0.0
99,2020-03-05,AZ,2.0,0.0,30.0,1.0,7378494.0,0.0,1.3552901174684156e-07,2.7105802349368313e-05,0.0004065870352405247,0.0,3.080379057590964e-05
134,2020-03-06,AZ,3.0,1.0,36.0,6.0,7378494.0,1.3552901174684156e-07,8.131740704810493e-07,4.0658703524052467e-05,0.0004879044422886296,0.00022770266627474803,0.00018482274345545785
184,2020-03-07,AZ,5.0,2.0,49.0,13.0,7378494.0,2.710580234936831e-07,1.7618771527089403e-06,6.776450587342077e-05,0.0006640921575595236,0.00045540533254949606,0.00040044927748682533
235,2020-03-08,AZ,5.0,0.0,49.0,0.0,7378494.0,0.0,0.0,6.776450587342077e-05,0.0006640921575595236,0.0,0.0
286,2020-03-09,AZ,5.0,0.0,49.0,0.0,7378494.0,0.0,0.0,6.776450587342077e-05,0.0006640921575595236,0.0,0.0
337,2020-03-10,AZ,6.0,1.0,57.0,8.0,7378494.0,1.3552901174684156e-07,1.0842320939747325e-06,8.131740704810493e-05,0.000772515366956997,0.00022770266627474803,0.0002464303246072771
388,2020-03-11,AZ,9.0,3.0,68.0,11.0,7378494.0,4.065870352405247e-07,1.4908191292152571e-06,0.0001219761105721574,0.0009215972798785227,0.0006831079988242441,0.00033884169633500603
439,2020-03-12,AZ,9.0,0.0,91.0,23.0,7378494.0,0.0,3.117167270177356e-06,0.0001219761105721574,0.0012333140068962582,0.0,0.0007084871832459217
490,2020-03-13,AZ,9.0,0.0,103.0,12.0,7378494.0,0.0,1.6263481409620987e-06,0.0001219761105721574,0.0013959488209924682,0.0,0.0003696454869109157
541,2020-03-14,AZ,12.0,3.0,133.0,30.0,7378494.0,4.065870352405247e-07,4.065870352405247e-06,0.00016263481409620987,0.0018025358562329928,0.0006831079988242441,0.0009241137172772893
592,2020-03-15,AZ,12.0,0.0,133.0,0.0,7378494.0,0.0,0.0,0.00016263481409620987,0.0018025358562329928,0.0,0.0
647,2020-03-16,AZ,18.0,6.0,143.0,10.0,7378494.0,8.131740704810493e-07,1.3552901174684156e-06,0.0002439522211443148,0.0019380648679798343,0.0013662159976484882,0.0003080379057590964
703,2020-03-17,AZ,20.0,2.0,162.0,19.0,7378494.0,2.710580234936831e-07,2.57505122318999e-06,0.0002710580234936831,0.0021955699902988335,0.00045540533254949606,0.0005852720209422832
759,2020-03-18,AZ,28.0,8.0,176.0,14.0,7378494.0,1.0842320939747325e-06,1.8974061644557818e-06,0.0003794812328911564,0.0023853106067444115,0.0018216213301979842,0.00043125306806273496
815,2020-03-19,AZ,44.0,16.0,219.0,43.0,7378494.0,2.168464187949465e-06,5.827747505114188e-06,0.0005963276516861029,0.00296808535725583,0.0036432426603959685,0.0013245629947641147
871,2020-03-20,AZ,65.0,21.0,276.0,57.0,7378494.0,2.846109246683673e-06,7.72515366956997e-06,0.0008809385763544703,0.003740600724212827,0.004781755991769708,0.0017558160628268497
927,2020-03-21,AZ,104.0,39.0,344.0,68.0,7378494.0,5.285631458126821e-06,9.215972798785227e-06,0.001409501722167152,0.00466219800409135,0.008880403984715174,0.0020946577591618555
983,2020-03-22,AZ,152.0,48.0,434.0,90.0,7378494.0,6.505392563848395e-06,1.219761105721574e-05,0.002060040978551992,0.0058819591098129235,0.010929727981187905,0.0027723411518318676
1039,2020-03-23,AZ,265.0,113.0,574.0,140.0,7378494.0,1.5314778327393095e-05,1.8974061644557817e-05,0.003591518811291301,0.007779365274268706,0.025730401289046526,0.00431253068062735
1095,2020-03-24,AZ,357.0,92.0,670.0,96.0,7378494.0,1.2468669080709424e-05,1.301078512769679e-05,0.004838385719362244,0.009080443787038385,0.02094864529727682,0.0029571638952873257
1151,2020-03-25,AZ,450.0,93.0,773.0,103.0,7378494.0,1.2604198092456265e-05,1.3959488209924681e-05,0.006098805528607871,0.010476392608030854,0.021176347963551567,0.003172790429318693
1207,2020-03-26,AZ,577.0,127.0,924.0,151.0,7378494.0,1.721218449184888e-05,2.0464880773773078e-05,0.007820023977792757,0.012522880685408161,0.028918238616893,0.004651372376962356
1263,2020-03-27,AZ,736.0,159.0,8191.0,7267.0,7378494.0,2.154911286774781e-05,0.0009848893283642976,0.009974935264567539,0.11101181352183792,0.03620472393768494,0.22385114611513537
